Id,Name
7374,Frederick St / The Esplanade
7375,Front St E / Scott St
7376,Frobisher Ave / Lascelles Blvd
7378,Yonge St / Davisville Ave
7377,Balliol St / Yonge St  SMART
7379,Lawton Blvd / Yonge St
7381,Roehampton Ave / Yonge St
7380,Erskine Ave / Yonge St SMART
7382,Simcoe St / Adelaide St W
7383,12 Harbour St
7384,Cumberland St / Bay St SMART
7385,20 Charles St E - SMART
7386,D'Arcy St / McCaul St - SMART
7387,Mortimer Ave / Carlaw Ave SMART
7388,Broadview Subway Station
7389,College Park - Gerrard Entrance
7391,Yonge St / Dundas Sq
7669,Bay St / Bloor St W (West Side)
7949,King St E / Church St
7955,190 Queens Quay E
7217,Soho St / Queen St W
7392,Woodbine Subway Green P SMART
7395,Dentonia Park
7393,55 Magnificent Rd. Garage
7440,Martin Goodman Trail / Ontario Dr
7398,York St / Lake Shore Blvd W
7403,Lascelles Blvd / Eglinton Ave W
7406,Victoria St / Queen St E
7417,King St W / Jordan St
7261,Queens Quay E / Lower Sherbourne St
7409,Isabella St / Church St
7432,Frederick St / King St E
7419,Bloor St W / Huron St
7400,Polson Pier
7449,Cosburn Ave / Cedarvale Ave
7445,Eastwood Rd / Coxwell Ave
7427,Northern Dancer Blvd / Lake Shore Blvd E
7450,Carlaw Ave / Danforth Ave
7407,University Ave / Queen St W
7428,Woodbine Ave / Lake Shore Blvd E
7418,College Park - Yonge St Entrance
7443,Dundas St E / George St
7416,Spadina Ave / Blue Jays Way
7422,Tyndall Ave / King St W - SMART
7408,University Ave / Armoury St
7452,Bleecker St / St James Ave
7404,Roehampton Ave / Mount Pleasant Rd
7454,Pottery Rd / Lower Don River Trail
7402,Wellington St W / Bathurst St
7426,Fleet St / Garrison Rd (Fort York)
7411,Little Norway Park
7457,Queen's Park Cres W / Hoskin Ave
7447,Trent Ave / Danforth Ave
7415,Keele St / Vine Ave
7444,Clendenan Ave / Rowland St - SMART
7467,Lower Simcoe St / Bremner Blvd
7461,High Park Amphitheatre
7438,Gothic Ave / Quebec Ave
7414,Keele St / Annette St
7458,Church St / Lombard St
7459,St Clair Ave W / Winona Dr
7441,Pacific Ave / Glenlake Ave
7468,Front St W / Simcoe St
7430,Marilyn Bell Park Tennis Court
7451,Western Battery Rd / Pirandello St
7473,Adelaide St W / Strachan Ave
7469,York St / Wellington St W 
7472,Dundas St E / Victoria St
7446,Orchard Park
7463,Adelaide St W / Brant St
7399,Lower Jarvis St / Queens Quay E
7462,Richmond St E / Yonge St
7471,2300 Lakeshore Blvd W
7474,Clarence Square
7436,Shaw St / Dupont St
7412,King St W / Crawford St
7423,Merton St / Al Green Ln
7460,High Park Outdoor Pool
7456,Belmont St / Davenport Rd - SMART
7475,Jarvis St / Richmond St E
7482,Danforth Ave / Sibley Ave
7478,Ellis Ave / The Queensway
7486,Gerrard St E / Main St
7435,Rushton Rd / St Clair Ave W
7479,Jane St / Bloor St W (Jane Subway Station)
7424,Merton St / Mount Pleasant Rd
7480,Neil McLellan Park
7410,Howard St / Rose Ave
7434,91 Via Italia
7437,Concord Ave / Bloor St W
7477,Antler St / Campbell Ave - SMART
